ilosc danych testowych,1797,blad sieci,0.3055091819699499,przypadki sklasyfikowane dobrze,1248
0.892,108
0.838,162
0.842,158
0.832,168
0.833,167
0.819,181
0.813,187
0.814,186
0.805,195
0.789,211
0.771,229
0.752,248
0.792,208
0.716,284
0.698,302
0.699,301
0.752,248
0.758,242
0.708,292
0.753,247
0.752,248
0.722,278
0.729,271
0.757,243
0.764,236
0.758,242
0.747,253
0.755,245
0.727,273
0.699,301
0.691,309
0.687,313
0.667,333
0.68,320
0.677,323
0.674,326
0.664,336
0.689,311
0.691,309
0.685,315
0.678,322
0.676,324
0.704,296
0.708,292
0.717,283
0.676,324
0.672,328
0.679,321
0.651,349
0.65,350
0.63,370
0.657,343
0.606,394
0.612,388
0.603,397
0.597,403
0.622,378
0.635,365
0.615,385
0.642,358
0.599,401
0.62,380
0.592,408
0.61,390
0.617,383
0.615,385
0.66,340
0.628,372
0.637,363
0.607,393
0.666,334
0.643,357
0.639,361
0.603,397
0.61,390
0.567,433
0.623,377
0.599,401
0.581,419
0.573,427
0.603,397
0.625,375
0.61,390
0.586,414
0.568,432
0.567,433
0.572,428
0.572,428
0.57,430
0.577,423
0.59,410
0.58,420
0.575,425
0.577,423
0.577,423
0.569,431
0.566,434
0.576,424
0.572,428
0.578,422
0.584,416
0.589,411
0.575,425
0.573,427
0.597,403
0.58,420
0.584,416
0.583,417
0.573,427
0.576,424
0.584,416
0.573,427
0.562,438
0.554,446
0.556,444
0.567,433
0.567,433
0.562,438
0.56,440
0.528,472
0.561,439
0.572,428
0.557,443
0.546,454
0.496,504
0.525,475
0.558,442
0.565,435
0.48,520
0.492,508
0.482,518
0.531,469
0.494,506
0.502,498
0.522,478
0.497,503
0.532,468
0.522,478
0.448,552
0.463,537
0.476,524
0.472,528
0.495,505
0.504,496
0.525,475
0.501,499
0.484,516
0.504,496
0.49,510
0.448,552
0.46,540
0.447,553
0.489,511
0.437,563
0.448,552
0.434,566
0.488,512
0.409,591
0.407,593
0.399,601
0.405,595
0.424,576
0.415,585
0.431,569
0.427,573
0.411,589
0.416,584
0.398,602
0.394,606
0.445,555
0.409,591
0.399,601
0.429,571
0.436,564
0.399,601
0.474,526
0.422,578
0.435,565
0.466,534
0.423,577
0.458,542
0.446,554
0.397,603
0.426,574
0.417,583
0.414,586
0.405,595
0.405,595
0.416,584
0.421,579
0.404,596
0.382,618
0.411,589
0.437,563
0.411,589
0.412,588
0.431,569
0.472,528
0.473,527
0.498,502
0.483,517
0.425,575
0.418,582
0.403,597
0.403,597
0.399,601
0.428,572
0.397,603
0.402,598
0.409,591
0.426,574
0.459,541
0.479,521
0.435,565
0.404,596
0.452,548
0.411,589
0.402,598
0.405,595
0.406,594
0.413,587
0.385,615
0.403,597
0.377,623
0.397,603
0.413,587
0.409,591
0.538,462
0.393,607
0.36,640
0.37,630
0.374,626
0.437,563
0.358,642
0.359,641
0.362,638
0.393,607
0.391,609
0.38,620
0.373,627
0.399,601
0.424,576
0.426,574
0.423,577
0.42,580
0.433,567
0.436,564
0.454,546
0.488,512
0.505,495
0.429,571
0.45,550
0.398,602
0.429,571
0.426,574
0.371,629
0.366,634
0.374,626
0.372,628
0.379,621
0.434,566
0.397,603
0.407,593
0.398,602
0.373,627
0.365,635
0.361,639
0.337,663
0.344,656
0.334,666
0.342,658
0.349,651
0.358,642
0.38,620
0.374,626
0.381,619
0.337,663
0.375,625
0.373,627
0.35,650
0.338,662
0.319,681
0.346,654
0.391,609
0.41,590
0.371,629
0.399,601
0.348,652
0.357,643
0.382,618
0.407,593
0.393,607
0.363,637
0.351,649
0.37,630
0.432,568
0.4,600
0.325,675
0.409,591
0.342,658
0.36,640
0.33,670
0.345,655
0.34,660
